カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,優先,kcal,P,F,C,数値ソース,備考
副菜・野菜,焼きいも(中1本) 1本,本,200,本(0.5刻み),やきいも,転記,✓,302,2.8,0.4,78.0,転記(成分表02008),既存さつまいもg指定と二本立て
副菜・野菜,ふかし芋 1人前,人前,120,人前(0.5刻み),ふかしいも,転記,,157,1.4,0.2,38.3,転記(成分表02007),
副菜・野菜,フライドポテト 1人前,人前,120,人前(0.5刻み),ぽてと/フライドポテト,転記,,184,3.2,6.7,30.5,転記(成分表02065),成分表にあり
洋食おかず,エビグラタン 1人前,人前,300,人前(0.5刻み),えびぐらたん,転記,✓,384,16.5,20.7,36.3,転記(成分表18003),成分表に実在発見→転記へ(段階2-2)
洋食おかず,シチュー(クリーム) 1皿,人前,300,人前(0.5刻み),しちゅー/ホワイトシチュー,転記,,372,18.6,24.0,23.4,転記(成分表18045),成分表にあり
洋食おかず,ビーフシチュー 1皿,人前,300,人前(0.5刻み),びーふしちゅー,転記,,459,12.3,37.8,21.3,転記(成分表18011),成分表にあり
洋食おかず,オムレツ(チーズ) 1個,人前,140,人前(0.5刻み),ちーずおむれつ,積算,,248,17.3,19.4,1.5,積算(内訳台帳),
洋食おかず,キッシュ 1切れ,個,100,個,きっしゅ,積算,,288,9.7,22.4,13.9,積算(内訳台帳),
洋食おかず,アヒージョ(エビ・きのこ) 1人前,人前,120,人前(0.5刻み),あひーじょ,積算,✓,405,9.0,40.4,3.1,積算(内訳台帳),パン別
洋食おかず,チキンナゲット 5個,人前,100,人前(0.5刻み),なげっと,転記,,235,15.5,13.7,14.9,転記(成分表11292),成分表にあり
洋食おかず,フライドチキン 1個,個,90,個,ふらいどちきん/ケンタ,積算,,245,12.6,19.4,6.1,積算(内訳台帳),
洋食おかず,ハンバーガー 1個,個,110,個,はんばーがー,積算,,239,10.8,9.6,29.1,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
洋食おかず,チーズバーガー 1個,個,120,個,ちーずばーがー,積算,,276,13.5,12.7,29.2,積算(内訳台帳),
洋食おかず,ミックスフライ盛り合わせ 1人前,人前,180,人前(0.5刻み),みっくすふらい,積算,,381,19.9,21.3,31.0,積算(内訳台帳),エビ・白身・コロッケ
洋食おかず,カニクリームコロッケ 1個,個,70,個,かにくりーむ,転記,,178,3.6,12.0,15.4,転記(成分表18043),成分表にあり
洋食おかず,チーズフォンデュ 1人前,人前,150,人前(0.5刻み),ふぉんでゅ,積算,,297,17.2,15.9,23.6,積算(内訳台帳),パン込み
洋食おかず,タンドリーチキン 1人前,人前,150,人前(0.5刻み),たんどりー,積算,,270,22.5,19.2,3.9,積算(内訳台帳),
洋食おかず,チーズタッカルビ 1人前,人前,250,人前(0.5刻み),たっかるび,積算,,406,25.9,27.4,16.4,積算(内訳台帳),
洋食おかず,トッポギ 1人前,人前,150,人前(0.5刻み),とっぽぎ,積算,,296,5.3,3.8,60.9,積算(内訳台帳),
洋食おかず,チヂミ 1枚,枚,200,枚(0.5刻み),ちぢみ,積算,,373,10.8,15.7,48.1,積算(内訳台帳),
洋食おかず,キンパ 1本,本,250,本(0.5刻み),きんぱ/韓国のり巻き,積算,,379,11.5,14.2,54.7,積算(内訳台帳),
洋食おかず,生春巻き 1本,本,80,本,なまはるまき,積算,,84,4.3,0.4,16.4,積算(内訳台帳),
洋食おかず,ケバブ(チキン) 1人前,人前,150,人前(0.5刻み),けばぶ,積算,,247,16.0,19.3,4.8,積算(内訳台帳),
コンビニ・市販,コンビニおにぎり 1個,個,110,個,こんびにおにぎり,市販平均,,180,4.0,1.5,38.0,市販平均,具平均・鮭ツナ等は主食欄
コンビニ・市販,サラダチキンバー 1本,本,60,本,ちきんばー,市販平均,,60,13.0,0.7,0.3,市販平均,
コンビニ・市販,スモークチキン 1袋,個,80,個,すもーくちきん,市販平均,,95,17.0,2.5,1.0,市販平均,
コンビニ・市販,焼き鳥缶 1缶,個,75,個,やきとりかん,市販平均,,130,12.0,7.0,5.0,市販平均,
コンビニ・市販,コンビニ幕の内弁当 1個,個,450,個,まくのうち/弁当,市販平均,,650,25.0,18.0,95.0,市販平均,
コンビニ・市販,コンビニのり弁当 1個,個,400,個,のりべん,市販平均,,700,18.0,22.0,105.0,市販平均,
コンビニ・市販,コンビニ唐揚げ弁当 1個,個,450,個,からあげべんとう,市販平均,,800,28.0,28.0,110.0,市販平均,
コンビニ・市販,コンビニパスタ(ミート) 1個,個,300,個,こんびにぱすた,市販平均,,480,18.0,14.0,70.0,市販平均,
コンビニ・市販,コンビニサンドイッチ(ミックス) 1包装,個,140,個,こんびにさんど,市販平均,,330,12.0,17.0,33.0,市販平均,
コンビニ・市販,コンビニ冷やし中華 1個,個,400,個,こんびにひやしちゅうか,市販平均,,450,17.0,12.0,68.0,市販平均,
コンビニ・市販,コンビニおでんセット 1人前,人前,350,人前(0.5刻み),こんびにおでん,市販平均,,180,12.0,6.0,18.0,市販平均,
コンビニ・市販,肉まん 1個,個,110,個,にくまん,転記,,266,11.0,5.6,47.7,転記(成分表15035),成分表にあり
コンビニ・市販,あんまん 1個,個,100,個,あんまん,転記,,273,6.1,5.6,51.3,転記(成分表15034),成分表にあり
コンビニ・市販,ピザまん 1個,個,100,個,ぴざまん,市販平均,,240,8.0,8.0,34.0,市販平均,
コンビニ・市販,アメリカンドッグ 1本,本,100,本,あめりかんどっぐ,積算,,268,7.9,13.0,30.9,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
コンビニ・市販,フランクフルト 1本,本,90,本,ふらんくふると,転記,,266,11.4,22.2,5.6,転記(成分表11189),成分表に実在発見→転記へ(段階2-2)
コンビニ・市販,コンビニホットスナック(からあげ) 5個,人前,125,人前(0.5刻み),ほっとすなっく/ななちき,市販平均,,330,19.0,19.0,19.0,市販平均,
コンビニ・市販,カットサラダ+蒸し鶏 1袋,個,150,個,かっとさらだ,市販平均,,90,12.0,2.0,6.0,市販平均,
コンビニ・市販,冷凍餃子(調理後) 5個,人前,125,人前(0.5刻み),れいとうぎょうざ,市販平均,,250,10.0,13.0,25.0,市販平均,
コンビニ・市販,冷凍チャーハン 1人前,人前,250,人前(0.5刻み),れいとうちゃーはん,市販平均,,460,11.0,17.0,66.0,市販平均,
コンビニ・市販,冷凍うどん(素うどん) 1玉,個,200,個,れいとううどん,転記,,190,5.2,0.8,43.2,転記(成分表01039),
コンビニ・市販,カップ味噌汁 1個,個,160,個,かっぷみそしる,市販平均,,35,2.5,1.0,4.5,市販平均,
コンビニ・市販,カップ春雨スープ 1個,個,160,個,はるさめすーぷ,市販平均,,80,1.5,1.5,15.0,市販平均,
コンビニ・市販,ゼリー飲料(エネルギー系) 1個,個,180,個,ぜりーいんりょう/ウィダー,市販平均,,180,0.0,0.0,45.0,市販平均,
コンビニ・市販,プロテインドリンク(紙パック) 1本,本,200,本,ぷろていんどりんく/ザバス,市販平均,✓,102,15.0,0.0,10.0,市販平均,
コンビニ・市販,プロテインバー 1本,本,40,本,ぷろていんばー,市販平均,✓,180,15.0,8.5,12.0,市販平均,
コンビニ・市販,ゆで卵(味付き・市販) 1個,個,50,個,あじたま,市販平均,✓,65,6.0,4.4,0.6,市販平均,
コンビニ・市販,チーズ(6P) 1個,個,15,個,ろっぴーちーず,転記,,47,3.4,3.9,0.2,転記(成分表13040),
コンビニ・市販,小魚アーモンド 1袋,個,25,個,こざかな,市販平均,✓,120,7.0,7.0,6.0,市販平均,
コンビニ・市販,ミックスナッツ(小袋) 1袋,個,25,個,なっつ,市販平均,✓,160,4.5,14.0,4.5,市販平均,成分表に実在せず→市販平均へ(段階2)
コンビニ・市販,するめ・あたりめ 1つかみ,人前,20,人前(0.5刻み),するめ/あたりめ,転記,,15,3.6,0.2,0.0,転記(成分表10345),
コンビニ・市販,ビーフジャーキー 1袋,個,30,個,じゃーきー,転記,,91,16.4,2.3,1.9,転記(成分表11107),
コンビニ・市販,茎わかめ 1袋,個,60,個,くきわかめ,市販平均,,15,0.5,0.1,3.0,市販平均,
コンビニ・市販,干し芋 1袋,個,60,個,ほしいも,転記,,166,1.9,0.4,43.1,転記(成分表02009),
間食・デザート,ショートケーキ 1切れ,個,110,個,けーき/しょーとけーき,転記,,345,7.6,16.2,47.0,転記(成分表15170),成分表にあり
間食・デザート,チョコレートケーキ 1切れ,個,100,個,ちょこけーき/ガトーショコラ,積算,,371,6.6,21.5,42.6,積算(内訳台帳),
間食・デザート,チーズケーキ 1切れ,個,100,個,ちーずけーき,転記,,299,8.5,21.2,23.3,転記(成分表15134),成分表にあり
間食・デザート,シュークリーム 1個,個,70,個,しゅーくりーむ,転記,,148,4.2,8.0,17.9,転記(成分表15073),成分表にあり
間食・デザート,エクレア 1個,個,80,個,えくれあ,転記,,169,4.8,9.1,20.4,転記(成分表15073),
間食・デザート,プリン 1個,個,90,個,ぷりん,転記,,104,5.1,5.0,12.6,転記(成分表15086),成分表にあり
間食・デザート,ゼリー(果物) 1個,個,150,個,ぜりー,転記,,120,3.1,0.1,29.7,転記(成分表15087),
間食・デザート,杏仁豆腐 1個,個,120,個,あんにん,積算,✓,149,4.9,7.7,16.9,積算(内訳台帳),
間食・デザート,アイスクリーム(バニラ) 1個,個,110,個,あいす,転記,,196,4.3,8.8,25.5,転記(成分表13043),
間食・デザート,ソフトクリーム 1個,個,120,個,そふとくりーむ,転記,,175,4.6,6.7,24.1,転記(成分表13047),
間食・デザート,かき氷(シロップ) 1杯,杯,200,杯(0.5刻み),かきごおり,積算,,118,0.0,0.0,29.9,積算(内訳台帳),
間食・デザート,大福 1個,個,70,個,だいふく,転記,,156,3.2,0.3,37.2,転記(成分表15023),成分表にあり
間食・デザート,どら焼き 1個,個,70,個,どらやき,転記,,197,4.6,2.2,40.9,転記(成分表15156),成分表にあり
間食・デザート,たい焼き 1個,個,100,個,たいやき,転記,,217,4.5,1.1,48.3,転記(成分表15005),
間食・デザート,みたらし団子 1本,本,60,本,だんご/みたらし,転記,,116,1.9,0.2,26.9,転記(成分表15019),成分表にあり
間食・デザート,おはぎ 1個,個,80,個,おはぎ/ぼたもち,積算,,164,3.2,0.2,38.4,積算(内訳台帳),成分表に実在せず→積算へ(段階2)
間食・デザート,カステラ 1切れ,個,50,個,かすてら,転記,,156,3.5,2.5,30.9,転記(成分表15009),成分表にあり
間食・デザート,ようかん 1切れ,個,50,個,ようかん,転記,,144,1.8,0.1,35.0,転記(成分表15038),成分表にあり
間食・デザート,わらび餅 1人前,人前,120,人前(0.5刻み),わらびもち,積算,✓,165,3.0,2.1,34.1,積算(内訳台帳),成分表に実在せず→積算へ(段階2)
間食・デザート,クッキー 1枚,枚,10,枚,くっきー/ビスケット,転記,,51,0.6,2.8,6.3,転記(成分表15098),
間食・デザート,チョコレート(板チョコ) 1かけ,個,5,個,ちょこ/チョコ,転記,,28,0.3,1.7,2.8,転記(成分表15116),
間食・デザート,ポテトチップス 1袋(60g),個,60,個,ぽてち,転記,,325,2.8,21.1,32.8,転記(成分表15103),
間食・デザート,ポテトチップス 小袋(28g),個,28,個,ぽてちしょう,転記,,151,1.3,9.9,15.3,転記(成分表15103),
間食・デザート,せんべい 1枚,枚,15,枚,せんべい,転記,,55,1.1,0.1,12.6,転記(成分表15060),
間食・デザート,柿の種(小袋) 1袋,個,30,個,かきのたね,市販平均,,140,3.5,4.0,21.0,市販平均,
間食・デザート,ポップコーン 1袋,個,50,個,ぽっぷこーん,転記,,236,5.1,11.4,29.8,転記(成分表01136),
間食・デザート,グミ 1袋,個,50,個,ぐみ,市販平均,,170,3.5,0.0,39.0,市販平均,
間食・デザート,ラムネ菓子 1本,個,29,個,らむね/ブドウ糖,市販平均,✓,108,0.0,0.0,27.0,市販平均,
間食・デザート,カロリーメイト 1本,本,20,本,かろりーめいと,市販平均,,100,2.0,5.5,10.5,市販平均,
間食・デザート,ドーナツ(オールドファッション) 1個,個,60,個,どーなつ,転記,,220,4.3,7.0,36.1,転記(成分表15078),成分表にあり
間食・デザート,ワッフル 1個,個,60,個,わっふる,転記,,145,4.4,4.7,22.9,転記(成分表15084),
間食・デザート,マカロン 1個,個,20,個,まかろん,積算,,77,2.0,3.9,9.2,積算(内訳台帳),
間食・デザート,みかん 1個,個,80,個,みかん,転記,,39,0.6,0.1,9.6,転記(成分表07027),可食部
間食・デザート,りんご 1/2個,個,125,個,りんご,転記,✓,70,0.2,0.4,20.2,転記(成分表07176),可食部
間食・デザート,キウイ 1個,個,85,個,きうい/キウイ,転記,,43,0.8,0.2,11.4,転記(成分表07054),可食部
間食・デザート,ぶどう(シャインマスカット等) 10粒,人前,100,人前(0.5刻み),ぶどう/マスカット,転記,,69,0.6,0.2,16.9,転記(成分表07178),
間食・デザート,いちご 5粒,人前,75,人前(0.5刻み),いちご,転記,,23,0.7,0.1,6.4,転記(成分表07012),
間食・デザート,梨 1/2個,個,130,個,なし,転記,,49,0.4,0.1,14.7,転記(成分表07088),可食部
間食・デザート,桃 1個,個,170,個,もも,転記,,65,1.0,0.2,17.3,転記(成分表07136),可食部
間食・デザート,柿 1個,個,150,個,かき(果物),転記,,94,0.6,0.3,23.9,転記(成分表07049),可食部
間食・デザート,スイカ 1切れ,個,200,個,すいか,転記,,82,1.2,0.2,19.0,転記(成分表07077),可食部
間食・デザート,パイナップル 3切れ,人前,90,人前(0.5刻み),ぱいなっぷる,転記,,49,0.5,0.1,12.3,転記(成分表07097),
間食・デザート,ミックスフルーツ(カップ) 1個,個,130,個,ふるーつ,市販平均,,80,0.5,0.2,20.0,市販平均,
間食・デザート,ドライフルーツ(小袋) 1袋,個,30,個,どらいふるーつ,転記,,97,0.8,0.1,24.1,転記(成分表07117),
飲料・酒,水・お茶 0kcal,杯,200,杯,みず/おちゃ/緑茶,転記,,0,0.0,0.0,0.0,転記(成分表(手動)),記録用0kcal
飲料・酒,ブラックコーヒー 1杯,杯,150,杯,こーひー/珈琲,転記,,6,0.3,0.0,1.1,転記(成分表16045),
飲料・酒,カフェラテ(ミルク入り) 1杯,杯,200,杯(0.5刻み),かふぇらて/カフェオレ,積算,,54,2.9,3.0,4.7,積算(内訳台帳),
飲料・酒,カフェラテ(無糖・コンビニ) 1杯,杯,240,杯,むとうらて,市販平均,,90,4.5,5.0,6.0,市販平均,
飲料・酒,紅茶(無糖) 1杯,杯,150,杯,こうちゃ,転記,,2,0.1,0.0,0.1,転記(成分表16044),
飲料・酒,ミルクティー(加糖) 1杯,杯,200,杯(0.5刻み),みるくてぃー,積算,,57,1.5,1.5,10.0,積算(内訳台帳),
飲料・酒,オレンジジュース コップ1杯,杯,200,杯(0.5刻み),おれんじじゅーす,転記,,92,1.4,0.2,21.4,転記(成分表07043),
飲料・酒,りんごジュース コップ1杯,杯,200,杯(0.5刻み),りんごじゅーす,転記,,94,0.2,0.4,22.8,転記(成分表07150),
飲料・酒,野菜ジュース 1本,本,200,本,やさいじゅーす,市販平均,,70,1.5,0.0,16.0,市販平均,
飲料・酒,スポーツドリンク 1本(500ml),本,500,本,すぽどり/ポカリ,市販平均,,125,0.0,0.0,31.0,市販平均,
飲料・酒,コーラ 1本(500ml),本,500,本,こーら,転記,,230,0.5,0.0,57.0,転記(成分表16053),
飲料・酒,コーラ(ゼロ) 1本,本,500,本,ぜろこーら,市販平均,,0,0.0,0.0,0.0,市販平均,0kcal
飲料・酒,サイダー 1本(500ml),本,500,本,さいだー,転記,,205,0.0,0.0,51.0,転記(成分表16054),
飲料・酒,エナジードリンク 1本,本,250,本,えなじー/レッドブル/モンスター,市販平均,,113,0.0,0.0,28.0,市販平均,
飲料・酒,甘酒 1杯,杯,150,杯(0.5刻み),あまざけ,転記,,114,2.5,0.1,27.4,転記(成分表16050),
飲料・酒,ビール 中ジョッキ1杯,杯,435,杯(0.5刻み),びーる/生ビール,転記,,170,1.3,0.0,13.5,転記(成分表16006),
飲料・酒,ビール 缶(350ml),本,350,本,かんびーる,転記,,136,1.1,0.0,10.8,転記(成分表16006),
飲料・酒,発泡酒 缶(350ml),本,350,本,はっぽうしゅ,転記,,154,0.3,0.0,12.6,転記(成分表16009),
飲料・酒,ノンアルコールビール 1本,本,350,本,のんある,市販平均,,25,0.1,0.0,5.6,市販平均,
飲料・酒,レモンサワー 1杯,杯,350,杯(0.5刻み),れもんさわー/チューハイ,積算,,109,0.0,0.0,6.0,積算(内訳台帳),
飲料・酒,ストロング系チューハイ 缶(350ml),本,350,本,すとろんぐ,市販平均,,220,0.0,0.0,0.7,市販平均,
飲料・酒,日本酒 1合,杯,180,杯(0.5刻み),にほんしゅ/清酒,転記,,193,0.7,0.0,8.8,転記(成分表16001),
飲料・酒,焼酎(ロック) 1杯,杯,60,杯(0.5刻み),しょうちゅう,転記,,86,0.0,0.0,0.0,転記(成分表16015),
飲料・酒,ウイスキー(シングル) 1杯,杯,30,杯(0.5刻み),ういすきー,転記,,70,0.0,0.0,0.0,転記(成分表16016),ハイボールは既存
飲料・酒,ワイン(赤) グラス1杯,杯,120,杯(0.5刻み),あかわいん/ワイン,転記,,82,0.2,0.0,1.8,転記(成分表16011),
飲料・酒,ワイン(白) グラス1杯,杯,120,杯(0.5刻み),しろわいん,転記,,90,0.1,0.0,2.4,転記(成分表16010),
飲料・酒,梅酒(ロック) 1杯,杯,60,杯(0.5刻み),うめしゅ,転記,✓,93,0.1,0.0,12.4,転記(成分表16022),
調味・トッピング,マヨネーズ 大さじ1,杯,12,杯,まよねーず/マヨ,転記,,80,0.2,9.1,0.4,転記(成分表17042),
調味・トッピング,ケチャップ 大さじ1,杯,15,杯,けちゃっぷ,転記,,17,0.2,0.0,4.1,転記(成分表17036),
調味・トッピング,和風ドレッシング 大さじ1,杯,15,杯,どれっしんぐ,転記,,27,0.3,2.2,1.4,転記(成分表17116),
調味・トッピング,ごまドレッシング 大さじ1,杯,15,杯,ごまどれ,転記,,60,0.4,5.7,2.2,転記(成分表17117),
調味・トッピング,ノンオイルドレッシング 大さじ1,杯,15,杯,のんおいる,市販平均,,12,0.5,0.0,2.5,市販平均,
調味・トッピング,焼肉のタレ 大さじ1,杯,18,杯,やきにくのたれ,転記,,30,0.8,0.4,5.8,転記(成分表17113),
調味・トッピング,ポン酢 大さじ1,杯,18,杯,ぽんず,転記,,9,0.6,0.0,1.3,転記(成分表17110),
調味・トッピング,めんつゆ(ストレート) 100ml,g,100,g(10刻み),めんつゆ,転記,,44,2.2,0.0,8.7,転記(成分表17029),
調味・トッピング,ソース(中濃) 大さじ1,杯,18,杯,そーす,転記,,23,0.1,0.0,5.6,転記(成分表17002),
調味・トッピング,バター 10g,g,10,g(10刻み)※5刻み要検討,ばたー,転記,,70,0.1,8.1,0.0,転記(成分表14017),
調味・トッピング,ジャム(いちご) 大さじ1,杯,20,杯,じゃむ,転記,,50,0.1,0.0,12.7,転記(成分表07013),
調味・トッピング,ピーナッツバター 大さじ1,杯,17,杯,ぴーなっつばたー,転記,✓,102,3.5,8.6,4.2,転記(成分表05037),
調味・トッピング,粉チーズ 大さじ1,杯,6,杯,こなちーず/パルメザン,転記,,27,2.6,1.8,0.1,転記(成分表13038),
調味・トッピング,すりごま 大さじ1,杯,9,杯,ごま,転記,,54,1.8,4.9,1.7,転記(成分表05018),
調味・トッピング,天かす 大さじ2,杯,10,杯,てんかす/揚げ玉,積算,,67,0.4,6.1,3.0,積算(内訳台帳),成分表に実在せず→積算へ(段階2)
主食,ナン 1枚,枚,80,枚,なん,転記,,206,8.2,2.7,38.1,転記(成分表01037),カレーと
主食,卵かけごはん 1杯,杯,210,杯(0.5刻み),たまごかけ/TKG,積算,✓,316,10.8,6.1,56.3,積算(内訳台帳),ごはん150g+卵1個+醤油
主食,お茶漬け 1杯,杯,230,杯(0.5刻み),おちゃづけ,積算,,251,5.1,0.7,58.0,積算(内訳台帳),
主食,ライ麦パン 1枚,枚,60,枚,らいむぎぱん,転記,✓,151,5.0,1.3,31.6,転記(成分表01032),特典18で言及
主食,ベースブレッド 1袋,個,70,個,べーすぶれっど/BASE,市販平均,,205,13.5,5.4,23.9,市販平均,筋トレ民定番
丼・ワンプレート,天津飯 1杯,杯,450,杯(0.5刻み),てんしんはん,積算,,645,21.6,19.2,99.6,積算(内訳台帳),ごはん250g込み
肉料理,チキンカツ 1枚,枚,130,枚(0.5刻み),ちきんかつ,積算,,295,23.9,18.0,11.4,積算(内訳台帳),
肉料理,串カツ(豚) 1本,本,40,本,くしかつ,積算,,116,5.2,8.5,5.4,積算(内訳台帳),
肉料理,小籠包 1個,個,30,個,しょうろんぽう,積算,,67,3.8,3.4,6.0,積算(内訳台帳),
肉料理,焼き鳥(つくね) 1本,本,45,本,つくね,積算,,76,6.4,4.2,3.7,積算(内訳台帳),
肉料理,焼き鳥(砂肝) 1本,本,35,本,すなぎも,積算,,30,6.4,0.6,0.0,積算(内訳台帳),
肉料理,八宝菜 1人前,人前,220,人前(0.5刻み),はっぽうさい,転記,,141,12.8,7.0,8.4,転記(成分表18048),成分表にあり
肉料理,麻婆春雨 1人前,人前,180,人前(0.5刻み),まーぼーはるさめ,積算,,244,8.3,11.3,29.3,積算(内訳台帳),
麺類,皿うどん 1人前,人前,350,人前(0.5刻み),さらうどん,積算,,459,16.8,23.0,53.1,積算(内訳台帳),
副菜・野菜,春雨サラダ 小鉢1,人前,70,人前(0.5刻み),はるさめさらだ,積算,,125,2.9,5.0,17.0,積算(内訳台帳),
副菜・野菜,がんもどきの煮物 1個,個,80,個,がんも,転記,,178,12.2,14.2,1.3,転記(成分表04041),
魚料理,明太子 1腹,個,30,個,めんたいこ/たらこ,転記,,36,6.3,1.0,0.9,転記(成分表10204),
間食・デザート,パフェ(いちご・チョコ) 1個,個,220,個,ぱふぇ,積算,,438,7.0,23.9,52.5,積算(内訳台帳),
間食・デザート,クレープ(チョコバナナ) 1個,個,150,個,くれーぷ,積算,,363,6.4,19.4,43.1,積算(内訳台帳),
飲料・酒,タピオカミルクティー 1杯,杯,350,杯,たぴおか,市販平均,,350,4.0,6.0,70.0,市販平均,
飲料・酒,グリーンスムージー 1杯,杯,250,杯,すむーじー,市販平均,,100,1.0,0.0,24.0,市販平均,
飲料・酒,青汁 1杯,杯,150,杯,あおじる,市販平均,,12,0.5,0.0,2.5,市販平均,
素材(追加),卵白 1個分,個,35,個,らんぱく,転記,✓,15,3.5,0.0,0.2,転記(成分表12014),筋トレ定番
素材(追加),鶏もも(皮なし) 100g,g,100,g(10刻み),とりもも,転記,✓,113,19.0,5.0,0.0,転記(成分表11224),
素材(追加),鶏もも(皮つき) 100g,g,100,g(10刻み),とりももかわつき,転記,✓,190,16.6,14.2,0.0,転記(成分表11221),
素材(追加),鶏ひき肉 100g,g,100,g(10刻み),とりひき/鶏ミンチ,転記,,171,17.5,12.0,0.0,転記(成分表11230),
素材(追加),豚ひき肉 100g,g,100,g(10刻み),ぶたひき,転記,,209,17.7,17.2,0.1,転記(成分表11163),
素材(追加),牛ひき肉 100g,g,100,g(10刻み),ぎゅうひき,転記,,251,17.1,21.1,0.3,転記(成分表11089),
素材(追加),合いびき肉 100g,g,100,g(10刻み),あいびき,転記,,230,17.4,19.2,0.2,転記(成分表(手動)),
素材(追加),豚バラ 100g,g,100,g(10刻み),ぶたばら,転記,,366,14.4,35.4,0.1,転記(成分表11129),注意食材だが記録用
素材(追加),豚ロース 100g,g,100,g(10刻み),ぶたろーす,転記,,248,19.3,19.2,0.2,転記(成分表11123),
素材(追加),牛肩ロース 100g,g,100,g(10刻み),ぎゅうかたろーす,転記,,295,16.2,26.4,0.2,転記(成分表11034),
素材(追加),きゅうり 1本,本,100,本,きゅうり/胡瓜,転記,,13,1.0,0.1,3.0,転記(成分表06065),
素材(追加),レタス 100g,g,100,g(10刻み),れたす,転記,,11,0.6,0.1,2.8,転記(成分表06312),
素材(追加),大根 100g,g,100,g(10刻み),だいこん,転記,,15,0.4,0.1,4.1,転記(成分表06134),
素材(追加),白菜 100g,g,100,g(10刻み),はくさい,転記,,13,0.8,0.1,3.2,転記(成分表06233),
素材(追加),もやし 1袋,個,200,個,もやし,転記,,30,3.6,0.2,4.8,転記(成分表06291),
素材(追加),長ねぎ 1本,本,60,本,ねぎ,転記,,21,0.8,0.1,5.0,転記(成分表06226),
素材(追加),かぼちゃ 100g,g,100,g(10刻み),かぼちゃなま,転記,✓,78,1.9,0.3,20.6,転記(成分表06048),
素材(追加),れんこん 100g,g,100,g(10刻み),れんこん/蓮根,転記,,66,1.9,0.1,15.5,転記(成分表06317),
素材(追加),長芋 100g,g,100,g(10刻み),ながいも/山芋,転記,✓,64,2.2,0.3,13.9,転記(成分表02023),
のりレシピ,高たんぱくチーズケーキ 1切れ,個,80,個,ちーずけーき/のりちーず,積算(のりレシピ),✓,110,12.0,4.0,6.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン+特典13(最強のチーズケーキ)
のりレシピ,ダイエットティラミス 1人前,人前,120,人前(0.5刻み),てぃらみす,積算(のりレシピ),✓,130,15.0,3.0,10.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン+特典13
のりレシピ,プロテインチョコバナナパンケーキ 1人前,人前,200,人前(0.5刻み),ぱんけーき/ぷろてぱん,積算(のりレシピ),✓,464,38.0,11.0,52.0,のりレシピ(のり公称+PFC按分),レッスン+特典13+14
のりレシピ,バナナチョコケーキ 1切れ,個,80,個,ばななちょこ,積算(のりレシピ),✓,95,8.3,2.6,9.5,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン+特典13(炊飯器)
のりレシピ,プロテインチョコアイスケーキ 1人前,人前,100,人前(0.5刻み),あいすけーき,積算(のりレシピ),✓,120,10.5,3.3,12.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン
のりレシピ,コーヒーゼリー(糖質ゼロ) 1個,個,120,個,こーひーぜりー,積算(のりレシピ),✓,15,3.0,0.0,0.5,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン
のりレシピ,炊飯器かぼちゃケーキ 1切れ,個,80,個,かぼちゃけーき,積算(のりレシピ),✓,110,5.0,2.5,18.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン
のりレシピ,腸活豆乳ヨーグルトボウル 1杯,杯,180,杯(0.5刻み),とうにゅうよーぐると,積算(のりレシピ),✓,160,8.0,5.0,22.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン+特典14
のりレシピ,焼き餅ココア 1人前,人前,80,人前(0.5刻み),やきもちここあ,積算(のりレシピ),✓,190,4.0,1.5,40.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),特典14
のりレシピ,オートミールクッキー 3枚,人前,45,人前(0.5刻み),おーとみーるくっきー,積算(のりレシピ),✓,150,6.0,5.0,20.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),特典14
のりレシピ,ヘルシーチョコスプレッド 大さじ1,杯,15,杯,ちょこすぷれっど,積算(のりレシピ),✓,20,1.8,0.6,2.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),特典14
のりレシピ,プロテインゼリー 1個,個,150,個,ぷろていんぜりー,積算(のりレシピ),✓,70,13.0,0.5,2.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),特典14
のりレシピ,きなこ餅(食物繊維) 1人前,人前,100,人前(0.5刻み),きなこもち,積算(のりレシピ),✓,143,5.0,3.0,19.0,のりレシピ(のり公称),特典09
のりレシピ,揚げないフライドポテト 1人前,人前,120,人前(0.5刻み),あげないぽてと,積算(のりレシピ),✓,100,2.2,3.1,16.0,のりレシピ(概算・採用確定(2026-08-18きよむ判断)),レッスン
